,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 2003, Block Group 2, Census Tract 107, San Francisco County, California",395,6,389,388,64,2,0,321,0,1,7
"Block 3000, Block Group 3, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 107, San Francisco County, California",38,4,34,38,8,0,0,30,0,0,0
"Block 3002, Block Group 3, Census Tract 107, San Francisco County, California",209,0,209,209,0,0,0,209,0,0,0
"Block 3003, Block Group 3, Census Tract 107, San Francisco County, California",363,0,363,355,8,2,0,345,0,0,8
"Block 3004, Block Group 3, Census Tract 107, San Francisco County, California",510,24,486,495,20,40,2,430,0,3,15
"Block 3005, Block Group 3, Census Tract 107, San Francisco County, California",92,2,90,91,4,0,0,87,0,0,1
"Block 3006, Block Group 3, Census Tract 107, San Francisco County, California",200,2,198,197,20,0,0,176,0,1,3
"Block 3007, Block Group 3, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3008, Block Group 3, Census Tract 107, San Francisco County, California",36,0,36,36,3,0,0,33,0,0,0
